review_id,publication_number,family_id,candidate_type,method_name,source_file,source_row_index,method_source,proposed_or_baseline,rank,score,gap_score,similarity_score,future_count,future_rate,general_term_flag,specific_method_flag,a_publication_number,a_family_id,a_year,b_year,neighbor_rank,a_application_field,b_application_field,a_technical_means,b_technical_means,method,method_display,A_pre_count,B_pre_count,A_pre_rate,B_pre_rate,gap_rate,positive_gap,gap_score_old,gap_score_v2,B_future_count,B_future_rate,B_growth_rate,future_observed_flag
MR0015,CN116051475B,86119368,proposed_top,encoder-decoder,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,14,method_gap_ranking_with_future_full,proposed,15,3.9549317695814335e-06,3.9549317695814335e-06,0.9697055220603944,203,0.005257296765338,1,1,CN116596861B,87589127,2023,2022,5,医療画像解析,製造欠陥検出,CNN; 画像セグメンテーション; 画像分類; 特徴抽出; 画像生成・再構成,U-Net; Attention; encoder-decoder; 画像セグメンテーション; 画像生成・再構成,encoder-decoder,encoder-decoder,,,0.002565154935358,0.0007195970256656,0.0018455579096924,0.0018455579096924,0.0021414043914243,3.9549317695814335e-06,203,0.005257296765338,0.0045376997396724,1
MR0016,CN116542916B,87455286,proposed_top,GAN,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,15,method_gap_ranking_with_future_full,proposed,16,2.13982868441446e-06,2.13982868441446e-06,0.99790620803833,428,0.011084349830368,1,1,CN118471527A,92161156,2024,2023,1,医療画像解析,製造欠陥検出,UNet; 画像セグメンテーション; 特徴抽出; 画像前処理; エンコーダ・デコーダ構造,U-Net; GAN; Autoencoder; 画像分類; 特徴抽出,gan,GAN,,,0.0042068540939872,0.0035979851283281,0.0006088689656591,0.0006088689656591,0.0035017873021703,2.13982868441446e-06,428,0.011084349830368,0.0074863647020398,1
MR0017,CN119516454A,94649163,proposed_top,PCA,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,16,method_gap_ranking_with_future_full,proposed,17,8.609765209519775e-07,8.609765209519775e-07,0.995682954788208,234,0.0060601351876311,1,1,CN111932497B,73316972,2020,2024,2,医療画像解析,製造欠陥検出,画像セグメンテーション; 画像生成・再構成,Attention; support vector machine; SVM; principal component analysis; 画像分類,pca,PCA,,,0.0085163143853888,0.0083952986327656,0.0001210157526232,0.0001210157526232,0.0070548531694123,8.609765209519775e-07,234,0.0060601351876311,-0.0023351634451345,1
MR0018,CN114120164A,80441537,proposed_top,VGG,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,17,method_gap_ranking_with_future_full,proposed,18,5.475523843524934e-07,5.475523843524934e-07,0.999706506729126,253,0.0065521974464558,1,1,CN116228643A,86590021,2022,2021,1,医療画像解析,製造欠陥検出,画像分類; 画像前処理,VGG; 欠陥検出; 深層学習モデル; 撮像装置,vgg,VGG,,,0.0040016416991586,0.00383785080355,0.0001637908956086,0.0001637908956086,0.0033301665392781,5.475523843524934e-07,253,0.0065521974464558,0.0027143466429058,1
MR0019,KR20240052495A,90881332,proposed_top,転移学習,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,18,method_gap_ranking_with_future_full,proposed,19,2.846019259037505e-07,2.846019259037505e-07,0.9923502206802368,199,0.0051537047108486,1,0,KR102678837B1,86773116,2021,2022,1,医療画像解析,製造欠陥検出,画像分類; 教師あり学習,深層学習モデル; 転移学習,転移学習,転移学習,,,0.0014364867638005,0.0011993283761093,0.0002371583876911,0.0002371583876911,0.0011986107575849,2.846019259037505e-07,199,0.0051537047108486,0.0039543763347392,1
MR0020,CN114862839A,82624544,proposed_top,画像処理方法,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,19,method_gap_ranking_with_future_full,proposed,20,6.943321610437226e-08,6.943321610437226e-08,0.988442361354828,8,0.0002071841089788,1,0,CN115700521A,85120649,2021,2022,1,医療画像解析,製造欠陥検出,画像セグメンテーション,画像処理方法,画像処理方法,画像処理方法,,,0.0008208495793145,0.0007195970256656,0.0001012525536489,0.0001012525536489,0.0006852494052557,6.943321610437226e-08,8,0.0002071841089788,-0.0005124129166867,1
MR0021,CN121190373A,98091802,proposed_top,CycleGAN,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,20,method_gap_ranking_with_future_full,proposed,21,3.518073382828489e-08,3.518073382828489e-08,0.9331904649734496,43,0.0011136145857612,1,1,CN118864493A,93172907,2024,2024,1,医療画像解析,製造欠陥検出,U-Net; Transformer; Attention; 画像セグメンテーション; 画像分類,CycleGAN; Attention; 画像セグメンテーション; 欠陥検出; 物体検出,cyclegan,CycleGAN,,,0.0002052123948286,0.0,0.0002052123948286,0.0002052123948286,0.0001714357159452,3.518073382828489e-08,43,0.0011136145857612,0.0011136145857612,1
MR0022,KR20250107065A,94172991,proposed_top,Domain Adaptation,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,21,method_gap_ranking_with_future_full,proposed,22,8.795183457071223e-09,8.795183457071223e-09,0.973908305168152,51,0.0013207986947401,1,1,KR102619104B1,82837003,2021,2024,3,医療画像解析,製造欠陥検出,撮像装置; 画像処理システム,Attention; Domain Adaptation; 画像セグメンテーション; 画像分類; 注意機構,domain adaptation,Domain Adaptation,,,0.0001026061974143,0.0,0.0001026061974143,0.0001026061974143,8.571785797261614e-05,8.795183457071223e-09,51,0.0013207986947401,0.0013207986947401,1
MR0023,KR102517267B1,85929154,proposed_top,ViT,pipeline/data/processed_full/ranking/method_gap_ranking_with_future_full.csv,22,method_gap_ranking_with_future_full,proposed,23,8.795183457071223e-09,8.795183457071223e-09,0.9672427773475648,126,0.0032631497164167,1,1,KR102783324B1,95205654,2024,2021,1,医療画像解析,製造欠陥検出,撮像装置,Transformer; CNN; ViT; 画像セグメンテーション; 物体検出,vit,ViT,,,0.0001026061974143,0.0,0.0001026061974143,0.0001026061974143,8.571785797261614e-05,8.795183457071223e-09,126,0.0032631497164167,0.0032631497164167,1
MR0024,CN115601289A,84841527,unet_related,U-Net,pipeline/data/processed_full/ranking/unet_ranking_check_full.csv,0,unet_ranking_check_full,proposed,7.0,0.0001974343014506,0.0001974343014506,0.9999999403953552,,0.021806127470023,1,1,CN115601289A,84841527,2021,2021,1,医療画像解析,製造欠陥検出,U-Net; Attention; 画像セグメンテーション; 特徴抽出; 画像生成・再構成,U-Net; Attention; 画像セグメンテーション; 特徴抽出; 画像生成・再構成,u-net,U-Net,151,1,0.0154935358095628,0.0002398656752218,0.015253670134341,0.015253670134341,0.0129402918773109,0.0001974343014506,,0.021806127470023,0.0215662617948011,1.0
MR0025,US2019122073A1,64277828,unet_related,U-Net,pipeline/data/processed_full/ranking/unet_ranking_check_full.csv,1,unet_ranking_check_full,proposed,7.0,0.0001974343014506,0.0001974343014506,0.9999999403953552,,0.021806127470023,1,1,US2019122073A1,64277828,2017,2017,1,医療画像解析,製造欠陥検出,U-Net; 画像分類; 画像前処理; 深層学習モデル; 機械学習モデル,U-Net; 画像分類; 画像前処理; 深層学習モデル; 機械学習モデル,u-net,U-Net,151,1,0.0154935358095628,0.0002398656752218,0.015253670134341,0.015253670134341,0.0129402918773109,0.0001974343014506,,0.021806127470023,0.0215662617948011,1.0
MR0026,CN117058450A,88660205,unet_related,U-Net,pipeline/data/processed_full/ranking/unet_ranking_check_full.csv,2,unet_ranking_check_full,proposed,7.0,0.0001974343014506,0.0001974343014506,0.9999998807907104,,0.021806127470023,1,1,CN117058450B,88660205,2023,2023,1,医療画像解析,製造欠陥検出,U-Net; 画像セグメンテーション; 画像前処理; 画像生成・再構成,U-Net; 画像セグメンテーション; 画像前処理; 画像生成・再構成,u-net,U-Net,151,1,0.0154935358095628,0.0002398656752218,0.015253670134341,0.015253670134341,0.0129402918773109,0.0001974343014506,,0.021806127470023,0.0215662617948011,1.0
MR0027,CN119688741A,95030188,unet_related,U-Net,pipeline/data/processed_full/ranking/unet_ranking_check_full.csv,3,unet_ranking_check_full,proposed,7.0,0.0001974343014506,0.0001974343014506,0.9999997615814208,,0.021806127470023,1,1,CN119688741A,95030188,2024,2024,1,医療画像解析,製造欠陥検出,U-Net; Attention; 画像セグメンテーション; 画像前処理; 畳み込みニューラルネットワーク,U-Net; Attention; 画像セグメンテーション; 画像前処理; 畳み込みニューラルネットワーク,u-net,U-Net,151,1,0.0154935358095628,0.0002398656752218,0.015253670134341,0.015253670134341,0.0129402918773109,0.0001974343014506,,0.021806127470023,0.0215662617948011,1.0
MR0028,CN115527151A,84705094,unet_related,U-Net,pipeline/data/processed_full/ranking/unet_ranking_check_full.csv,4,unet_ranking_check_full,proposed,7.0,0.0001974343014506,0.0001974343014506,0.9997386932373048,,0.021806127470023,1,1,CN114663330B,81848837,2020,2022,1,医療画像解析,製造欠陥検出,,U-Net; 画像生成・再構成; エンコーダ・デコーダ構造; 深層学習モデル,u-net,U-Net,151,1,0.0154935358095628,0.0002398656752218,0.015253670134341,0.015253670134341,0.0129402918773109,0.0001974343014506,,0.021806127470023,0.0215662617948011,1.0
MR0029,CN115527151B,84705094,unet_related,U-Net,pipeline/data/processed_full/ranking/unet_ranking_check_full.csv,5,unet_ranking_check_full,proposed,7.0,0.0001974343014506,0.0001974343014506,0.9997386932373048,,0.021806127470023,1,1,CN114663330B,81848837,2020,2022,2,医療画像解析,製造欠陥検出,,U-Net; 画像生成・再構成; エンコーダ・デコーダ構造; 深層学習モデル,u-net,U-Net,151,1,0.0154935358095628,0.0002398656752218,0.015253670134341,0.015253670134341,0.0129402918773109,0.0001974343014506,,0.021806127470023,0.0215662617948011,1.0
MR0030,CN119625451A,94886210,unet_related,U-Net,pipeline/data/processed_full/ranking/unet_ranking_check_full.csv,6,unet_ranking_check_full,proposed,7.0,0.0001974343014506,0.0001974343014506,0.9992483854293824,,0.021806127470023,1,1,CN119230093A,94068070,2024,2024,3,医療画像解析,製造欠陥検出,Transformer; support vector machine; 画像セグメンテーション; 画像前処理; 畳み込みニューラルネットワーク,U-Net; 画像セグメンテーション; 画像前処理,u-net,U-Net,151,1,0.0154935358095628,0.0002398656752218,0.015253670134341,0.015253670134341,0.0129402918773109,0.0001974343014506,,0.021806127470023,0.0215662617948011,1.0
MR0031,CN116542916A,87455286,unet_related,U-Net,pipeline/data/processed_full/ranking/unet_ranking_check_full.csv,7,unet_ranking_check_full,proposed,7.0,0.0001974343014506,0.0001974343014506,0.99790620803833,,0.021806127470023,1,1,CN118471527A,92161156,2024,2023,2,医療画像解析,製造欠陥検出,UNet; 画像セグメンテーション; 特徴抽出; 画像前処理; エンコーダ・デコーダ構造,U-Net; GAN; Autoencoder; 画像分類; 特徴抽出,u-net,U-Net,151,1,0.0154935358095628,0.0002398656752218,0.015253670134341,0.015253670134341,0.0129402918773109,0.0001974343014506,,0.021806127470023,0.0215662617948011,1.0
MR0032,CN118840763A,93137917,unet_related,U-Net,pipeline/data/processed_full/ranking/unet_ranking_check_full.csv,8,unet_ranking_check_full,proposed,7.0,0.0001974343014506,0.0001974343014506,0.997201442718506,,0.021806127470023,1,1,CN116664894A,87709576,2023,2024,3,医療画像解析,製造欠陥検出,画像セグメンテーション; 特徴抽出; 画像前処理; 画像生成・再構成,U-Net; Attention; 画像セグメンテーション; 画像前処理; 画像生成・再構成,u-net,U-Net,151,1,0.0154935358095628,0.0002398656752218,0.015253670134341,0.015253670134341,0.0129402918773109,0.0001974343014506,,0.021806127470023,0.0215662617948011,1.0
MR0033,CN116862894A,88230449,unet_related,U-Net,pipeline/data/processed_full/ranking/unet_ranking_check_full.csv,9,unet_ranking_check_full,proposed,7.0,0.0001974343014506,0.0001974343014506,0.9832757711410522,,0.021806127470023,1,1,CN112634240B,75325396,2020,2023,1,医療画像解析,製造欠陥検出,画像セグメンテーション,UNet; Attention; 画像セグメンテーション; 欠陥検出; 特徴抽出,u-net,U-Net,151,1,0.0154935358095628,0.0002398656752218,0.015253670134341,0.015253670134341,0.0129402918773109,0.0001974343014506,,0.021806127470023,0.0215662617948011,1.0
MR0034,CN111739002A,72649497,random_low_rank,撮像装置; 検査装置,pipeline/data/processed_full/similarity/A0_to_B0_fulltext_topk_full.csv,0,A0_to_B0_fulltext_topk_full,baseline_random,10,0.6697630286216736,,0.6697630286216736,,,0,0,CN118262183B,91607197,2024,2020,10,医療画像解析,製造欠陥検出,k-means; 画像セグメンテーション; 画像前処理; 撮像装置,撮像装置; 検査装置,,,,,,,,,,,,,,
MR0035,CN114511563B,81554934,random_low_rank,YOLO; 欠陥検出,pipeline/data/processed_full/similarity/A0_to_B0_fulltext_topk_full.csv,1,A0_to_B0_fulltext_topk_full,baseline_random,9,0.6914721727371216,,0.6914721727371216,,,0,1,CN108564576A,63534613,2018,2022,9,医療画像解析,製造欠陥検出,画像セグメンテーション; 画像生成・再構成,YOLO; 欠陥検出,,,,,,,,,,,,,,
MR0036,US11562481B2,80356843,random_low_rank,欠陥検出; 画像処理システム,pipeline/data/processed_full/similarity/A0_to_B0_fulltext_topk_full.csv,2,A0_to_B0_fulltext_topk_full,baseline_random,8,0.5981957316398621,,0.5981957316398621,,,1,0,WO2025152563A1,90697128,2024,2021,8,医療画像解析,製造欠陥検出,画像生成・再構成; 撮像装置,欠陥検出; 画像処理システム,,,,,,,,,,,,,,
MR0037,CN111080622B,70315159,random_low_rank,画像セグメンテーション; 欠陥検出; 画像分類; 深層学習モデル,pipeline/data/processed_full/similarity/A0_to_B0_fulltext_topk_full.csv,3,A0_to_B0_fulltext_topk_full,baseline_random,8,0.5491370558738708,,0.5491370558738708,,,1,0,CN109003299A,64598702,2018,2019,8,医療画像解析,製造欠陥検出,画像セグメンテーション; 画像生成・再構成; 深層学習モデル; 機械学習モデル,画像セグメンテーション; 欠陥検出; 画像分類; 深層学習モデル,,,,,,,,,,,,,,
MR0038,JP7003669B2,67140691,random_low_rank,画像前処理; 画像生成・再構成; 撮像装置; 検査装置,pipeline/data/processed_full/similarity/A0_to_B0_fulltext_topk_full.csv,4,A0_to_B0_fulltext_topk_full,baseline_random,9,0.7486343383789062,,0.7486343383789062,,,1,0,JP7313192B2,73548384,2019,2018,9,医療画像解析,製造欠陥検出,画像生成・再構成; 撮像装置,画像前処理; 画像生成・再構成; 撮像装置; 検査装置,,,,,,,,,,,,,,
MR0039,CN118501266B,92237921,random_low_rank,YOLO; Transformer; Attention; 画像セグメンテーション; 注意機構,pipeline/data/processed_full/similarity/A0_to_B0_fulltext_topk_full.csv,5,A0_to_B0_fulltext_topk_full,baseline_random,10,0.6728430986404419,,0.6728430986404419,,,1,1,CN118505974A,92236236,2024,2024,10,医療画像解析,製造欠陥検出,YOLO; 画像分類; 特徴抽出; 画像前処理; 深層学習モデル,YOLO; Transformer; Attention; 画像セグメンテーション; 注意機構,,,,,,,,,,,,,,
MR0040,ES3040982T3,90060774,random_low_rank,検出方法,pipeline/data/processed_full/similarity/A0_to_B0_fulltext_topk_full.csv,6,A0_to_B0_fulltext_topk_full,baseline_random,10,0.5445089936256409,,0.5445089936256409,,,1,0,WO2024258436A1,93844403,2023,2022,10,医療画像解析,製造欠陥検出,U-Net; random forest; support vector machine; 画像分類; 深層学習モデル,検出方法,,,,,,,,,,,,,,
MR0041,CN109727428A,66298252,random_low_rank,画像分類; 深層学習モデル,pipeline/data/processed_full/similarity/A0_to_B0_fulltext_topk_full.csv,7,A0_to_B0_fulltext_topk_full,baseline_random,9,0.6731185913085938,,0.6731185913085938,,,1,0,CN115641307B,84945335,2022,2019,9,医療画像解析,製造欠陥検出,画像セグメンテーション; 特徴抽出,画像分類; 深層学習モデル,,,,,,,,,,,,,,
MR0042,CN115993365B,85995285,random_low_rank,Attention; 欠陥検出; 画像分類; 特徴抽出; 画像生成・再構成,pipeline/data/processed_full/similarity/A0_to_B0_fulltext_topk_full.csv,8,A0_to_B0_fulltext_topk_full,baseline_random,8,0.7015508413314819,,0.7015508413314819,,,1,0,CN114092470B,80306899,2021,2023,8,医療画像解析,製造欠陥検出,U-Net; GAN; VGG; 画像セグメンテーション; 画像前処理,Attention; 欠陥検出; 画像分類; 特徴抽出; 画像生成・再構成,,,,,,,,,,,,,,
MR0043,CN117422688A,89532188,random_low_rank,画像セグメンテーション; 画像分類; 特徴抽出; 画像前処理; 画像生成・再構成,pipeline/data/processed_full/similarity/A0_to_B0_fulltext_topk_full.csv,9,A0_to_B0_fulltext_topk_full,baseline_random,8,0.4541861712932586,,0.4541861712932586,,,1,0,WO2023000039A1,84979632,2022,2023,8,医療画像解析,製造欠陥検出,画像セグメンテーション; 機械学習モデル; 撮像装置,画像セグメンテーション; 画像分類; 特徴抽出; 画像前処理; 画像生成・再構成,,,,,,,,,,,,,,
MR0044,CN114913377B,82767770,future_growth,特徴抽出,pipeline/data/processed_full/ranking/method_future_growth_evaluation_full.csv,40,method_future_growth_evaluation_full,proposed,,0.1354981277301586,,1.0000003576278689,8733,0.2261673529640276,1,1,CN114913377B,82767770,2022,2022,1,医療画像解析,製造欠陥検出,Attention; Autoencoder; 画像セグメンテーション; 特徴抽出; 画像前処理,Attention; Autoencoder; 画像セグメンテーション; 特徴抽出; 画像前処理,特徴抽出,,,,,,,,,,8733,0.2261673529640276,0.1354981277301586,
MR0045,CN119295843A,94164433,future_growth,画像生成・再構成,pipeline/data/processed_full/ranking/method_future_growth_evaluation_full.csv,46,method_future_growth_evaluation_full,proposed,,0.1216934801182303,,1.0000003576278689,13081,0.3387719161940279,1,1,CN119295843B,94164433,2024,2024,1,医療画像解析,製造欠陥検出,Attention; Autoencoder; 特徴抽出; 画像生成・再構成; エンコーダ・デコーダ構造,Attention; Autoencoder; 特徴抽出; 画像生成・再構成; エンコーダ・デコーダ構造,画像生成・再構成,,,,,,,,,,13081,0.3387719161940279,0.1216934801182303,
MR0046,CN112711982B,75543421,future_growth,attention,pipeline/data/processed_full/ranking/method_future_growth_evaluation_full.csv,0,method_future_growth_evaluation_full,proposed,,0.1147651620119537,,1.0000003576278689,4876,0.1262787144226038,0,0,CN112949654B,76246421,2021,2020,1,医療画像解析,製造欠陥検出,特徴抽出; 画像前処理; 画像生成・再構成,Attention; 注意機構; 撮像装置; 検査装置,attention,,,,,,,,,,4876,0.1262787144226038,0.1147651620119537,
